(9,39)
(9,48)
(32,38)
(32,39)
(32,41)
(32,48)
(36,38)
(36,39)
(36,41)
(36,48)
(37,38)
(38,39)
(38,41)
(38,48)
(38,110)
(38,170)
(38,286)
(39,41)
(39,48)
(39,60)
(39,65)
(39,79)
(39,89)
(39,101)
(39,110)
(39,117)
(39,147)
(39,170)
(39,225)
(39,237)
(39,255)
(39,270)
(39,271)
(39,310)
(39,352)
(39,438)
(39,475)
(39,522)
(39,533)
(39,604)
(39,1121)
(39,1146)
(39,1198)
(39,1327)
(39,1344)
(39,1859)
(39,2238)
(39,8978)
(41,48)
(41,65)
(41,89)
(41,110)
(41,170)
(41,225)
(41,237)
(41,310)
(41,475)
(41,1327)
(48,60)
(48,65)
(48,89)
(48,101)
(48,110)
(48,117)
(48,147)
(48,170)
(48,225)
(48,237)
(48,255)
(48,310)
(48,352)
(48,438)
(48,475)
(48,604)
(48,783)
(48,1121)
(48,1146)
(48,1198)
(48,1327)
(48,1859)
(48,8978)
