(39,2238)
(48,2238)
(39,225)
(48,225)
(32,38)
(36,38)
(37,38)
(39,1146)
(32,39)
(36,39)
(38,39)
(32,41)
(38,41)
(39,41)
(39,101)
(48,101)
(32,48)
(36,48)
(38,48)
(39,48)
(41,48)
(39,438)
(48,438)
(39,60)
(38,110)
(39,110)
(48,110)
(39,475)
(48,475)
(38,170)
(39,170)
(39,65)
(41,65)
(48,170)
(48,65)
(39,533)
(39,147)
(48,147)
(39,310)
(48,310)
(39,12925)
(39,79)
(48,79)
(39,413)
(48,413)
(48,1327)
(39,1327)
(39,237)
(48,237)
(39,270)
(48,270)
(39,255)
(48,255)
(39,271)
(48,271)
(38,286)
(39,89)
(48,89)
